"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1007.4","1010.9","1008.9","2020-06-01 23:40","1005.2","2020-06-01 15:35","29.2","34.2","2020-06-01 12:18","25.9","2020-06-01 04:56","24.1","77","44","2020-06-01 13:11","1.5","160","10.0","280","2020-06-01 14:04","3.5","2.4","2.5","2020-06-01 01:45","3.0","2020-06-01 00:55","3.9","28.8","17.55","30.0","-3.9","...","...","7.5"
"02","1006.2","1009.6","1008.7","2020-06-02 00:03","1004.1","2020-06-02 16:32","29.1","33.7","2020-06-02 12:18","24.8","2020-06-02 03:52","24.2","77","50","2020-06-02 11:58","0.9","10","7.4","90","2020-06-02 12:23","1.8","0.3","1.0","2020-06-02 01:25","1.8","2020-06-02 01:25","3.7","27.3","16.13","27.3","4.2","...","...","9.0"
"03","1004.4","1007.9","1006.2","2020-06-03 07:22","1001.7","2020-06-03 16:40","30.6","35.0","2020-06-03 13:06","26.3","2020-06-03 04:11","22.9","66","42","2020-06-03 13:42","1.8","250","9.5","250","2020-06-03 15:42","0.0","0.0","0.0","...","0.0","...","7.5","55.3","23.43","43.8","5.3","...","...","4.0"
"04","1003.8","1007.2","1005.2","2020-06-04 08:04","1002.4","2020-06-04 16:05","31.0","36.8","2020-06-04 12:35","26.3","2020-06-04 04:43","22.5","63","36","2020-06-04 11:07","2.3","280","13.8","270","2020-06-04 13:20","0.0","0.0","0.0","...","0.0","...","6.4","47.1","25.22","56.3","6.1","...","...","5.5"
"05","1003.7","1007.1","1005.3","2020-06-05 08:29","1001.2","2020-06-05 16:19","31.1","35.9","2020-06-05 11:54","27.7","2020-06-05 05:27","23.4","65","37","2020-06-05 11:54","1.5","270","8.9","280","2020-06-05 16:59","0.0","0.0","0.0","...","0.0","...","3.6","26.5","21.50","28.8","5.1","...","...","8.0"
"06","1002.7","1006.1","1004.0","2020-06-06 21:01","1001.3","2020-06-06 13:11","30.9","36.8","2020-06-06 13:34","27.2","2020-06-06 04:37","22.8","64","40","2020-06-06 13:35","2.0","280","12.2","240","2020-06-06 14:41","0.0","0.0","0.0","...","0.0","...","5.6","41.2","21.73","40.0","-5.7","...","...","7.8"
"07","1003.9","1007.4","1005.2","2020-06-07 22:12","1002.8","2020-06-07 01:38","27.2","30.9","2020-06-07 07:57","25.1","2020-06-07 15:17","24.7","87","55","2020-06-07 08:04","1.1","270","9.4","270","2020-06-07 12:38","19.3","11.3","1.7","2020-06-07 12:43","6.5","2020-06-07 13:49","0.2","1.5","5.29","18.8","-1.4","...","...","9.8"
"08","1005.0","1008.5","1006.3","2020-06-08 21:58","1003.4","2020-06-08 04:16","26.7","29.3","2020-06-08 10:14","25.0","2020-06-08 03:53","24.1","86","66","2020-06-08 09:30","0.9","300","7.5","260","2020-06-08 17:06","0.8","9.5","0.2","2020-06-08 10:48","0.5","2020-06-08 16:50","0.0","0.0","6.03","19.8","-1.3","...","...","10.0"
"09","1005.9","1009.4","1007.2","2020-06-09 22:05","1004.4","2020-06-09 02:52","27.6","31.7","2020-06-09 12:01","25.4","2020-06-09 02:09","23.1","78","49","2020-06-09 12:03","1.2","160","6.5","130","2020-06-09 20:19","0.4","4.0","0.1","2020-06-09 14:50","0.2","2020-06-09 14:10","0.0","0.0","8.91","25.5","-1.5","...","...","10.0"
"10","1005.6","1009.0","1007.0","2020-06-10 09:24","1003.6","2020-06-10 16:01","30.0","35.6","2020-06-10 15:00","25.8","2020-06-10 05:36","21.9","64","37","2020-06-10 12:00","1.0","170","5.9","280","2020-06-10 13:36","0.0","0.0","0.0","...","0.0","...","1.7","12.5","19.37","52.5","-4.5","...","...","8.8"
"11","1004.4","1007.8","1006.1","2020-06-11 07:09","1002.4","2020-06-11 16:16","29.8","33.7","2020-06-11 12:13","27.4","2020-06-11 04:59","23.8","71","50","2020-06-11 12:16","1.1","170","5.6","70","2020-06-11 16:05","T","1.1","T","2020-06-11 08:23","T","2020-06-11 08:23","0.1","0.7","12.05","22.5","-2.4","...","...","10.0"
"12","1003.2","1006.6","1005.0","2020-06-12 07:22","1001.3","2020-06-12 17:42","30.8","36.1","2020-06-12 12:59","27.4","2020-06-12 03:28","23.4","66","41","2020-06-12 11:05","1.2","140","7.4","360","2020-06-12 12:29","0.0","0.0","0.0","...","0.0","...","3.9","28.6","20.97","25.0","5.2","...","...","7.3"
"13","1004.4","1007.8","1007.7","2020-06-13 22:05","1001.7","2020-06-13 02:35","30.7","36.4","2020-06-13 12:18","27.7","2020-06-13 03:47","23.5","67","42","2020-06-13 12:51","1.0","120","7.6","360","2020-06-13 13:36","0.0","0.0","0.0","...","0.0","...","4.5","33.0","19.60","26.3","5.1","...","...","6.3"
"14","1008.4","1011.9","1010.9","2020-06-14 21:51","1005.9","2020-06-14 03:11","28.9","35.3","2020-06-14 12:54","25.7","2020-06-14 20:41","24.9","82","46","2020-06-14 12:50","1.2","180","7.2","290","2020-06-14 16:58","79.8","6.6","19.5","2020-06-14 16:33","50.5","2020-06-14 16:25","3.0","22.0","12.79","16.3","/","...","...","8.3"
"15","1008.1","1011.5","1010.0","2020-06-15 00:05","1006.1","2020-06-15 14:49","30.3","36.2","2020-06-15 14:55","25.4","2020-06-15 04:06","23.4","70","43","2020-06-15 10:38","1.7","290","8.9","310","2020-06-15 14:15","0.0","0.0","0.0","...","0.0","...","6.8","49.8","24.35","31.3","4.7","...","...","6.8"
"16","1004.9","1008.4","1007.1","2020-06-16 00:01","1002.8","2020-06-16 15:52","31.5","36.7","2020-06-16 13:44","27.1","2020-06-16 05:20","22.5","62","38","2020-06-16 13:45","2.4","280","11.2","250","2020-06-16 16:21","0.0","0.0","0.0","...","0.0","...","9.6","70.3","28.91","37.5","6.6","...","...","2.8"
"17","1003.5","1007.0","1004.7","2020-06-17 21:22","1001.9","2020-06-17 14:53","32.0","37.6","2020-06-17 14:22","27.4","2020-06-17 05:18","22.9","61","39","2020-06-17 12:59","1.8","270","9.7","280","2020-06-17 15:24","0.0","0.0","0.0","...","0.0","...","8.5","62.3","29.51","23.0","7.1","...","...","4.5"
"18","1003.5","1007.0","1005.6","2020-06-18 08:15","1001.4","2020-06-18 15:57","32.3","37.4","2020-06-18 13:38","28.0","2020-06-18 04:19","22.6","59","38","2020-06-18 14:14","1.8","260","10.2","290","2020-06-18 08:46","0.0","0.0","0.0","...","0.0","...","9.2","67.4","28.55","50.0","4.9","...","...","7.5"
"19","1004.3","1007.7","1005.5","2020-06-19 22:30","1003.0","2020-06-19 15:40","32.2","36.7","2020-06-19 12:50","28.1","2020-06-19 04:07","22.9","60","38","2020-06-19 11:04","1.9","260","11.6","290","2020-06-19 12:41","0.0","0.0","0.0","...","0.0","...","8.4","61.5","26.44","32.5","6.7","...","...","8.3"
"20","1003.8","1007.2","1005.4","2020-06-20 06:16","1001.8","2020-06-20 16:11","32.2","37.2","2020-06-20 12:35","28.6","2020-06-20 04:47","22.8","59","39","2020-06-20 10:05","1.4","280","8.6","220","2020-06-20 09:16","0.0","0.0","0.0","...","0.0","...","7.8","57.1","26.39","30.0","4.9","...","...","6.8"
"21","1001.2","1004.6","1003.4","2020-06-21 00:01","998.7","2020-06-21 17:02","31.9","36.3","2020-06-21 11:27","28.2","2020-06-21 05:41","22.7","60","38","2020-06-21 14:47","2.3","260","13.8","240","2020-06-21 15:42","0.0","0.0","0.0","...","0.0","...","6.3","46.1","22.35","36.3","5.7","...","...","7.8"
"22","1001.6","1005.0","1003.3","2020-06-22 21:38","1000.6","2020-06-22 16:15","32.1","37.6","2020-06-22 12:20","27.5","2020-06-22 05:58","22.7","59","38","2020-06-22 11:02","2.2","290","12.3","280","2020-06-22 10:14","0.0","0.0","0.0","...","0.0","...","7.8","57.1","26.82","52.5","6.7","...","...","6.3"
"23","1002.3","1005.7","1003.3","2020-06-23 22:39","1000.9","2020-06-23 15:46","32.6","38.4","2020-06-23 14:04","28.2","2020-06-23 04:41","23.0","59","35","2020-06-23 12:06","1.9","240","9.4","260","2020-06-23 09:19","0.0","0.0","0.0","...","0.0","...","7.2","52.7","25.95","60.0","6.8","...","...","8.5"
